total=601
t=0.010000 n=14
10124.572637 0.810923 -0.035263
32330.879276 1.575165 -0.000590
46709.945976 1.550076 -0.066092
42236.519569 1.541515 0.008953
14143.914765 1.351790 -0.206155
43966.625101 1.443693 -0.039808
45697.477810 1.441456 -0.059214
t=0.390000 n=25
42902.286682 1.466559 -0.068181
40071.362193 1.535632 -0.018753
50261.845786 1.553566 0.001799
19772.483545 1.534985 -0.007376
19648.486175 1.365082 -0.136161
33860.769963 1.544866 -0.087182
24671.966079 1.590011 -0.055296
36604.628096 1.495874 -0.086327
34584.428597 1.382446 -0.023245
35971.113884 1.492125 -0.065103
7680.825399 1.048773 -0.024574
29579.383879 1.453591 -0.031381
29677.792386 1.574746 -0.112685
20810.815351 1.423019 -0.041818
47895.671772 1.436625 -0.064419
42072.795690 1.550928 -0.017735
5087.882613 -1.335885 -0.217489
31088.480417 1.568800 -0.015036
36019.571919 1.426317 -0.070729
24153.013571 1.387905 0.003294
